"Ref_ID","Cross_Ref_ID","Data_source","Title","Authors","Abstract_old","Abstract","S_Ref_Year","Journal","Volume","Start_page","End_page","Address","PubMed_entry","PubMed","Exclude_analysis","WGS_WXS","Comment","Tissue_processing","Start_material","Prescreening","Material_sequenced","Confirmation","exon2","exon3","exon4","exon5","exon6","exon7","exon8","exon9","exon10","exon11"
11,,"journal","Chromosome 17p deletions and p53 gene mutations associated with the formation of malignant neurofibrosarcomas in von Recklinghausen neurofibromatosis","net.sourceforge.jtds.jdbc.ClobImpl@48ad31a9","net.sourceforge.jtds.jdbc.ClobImpl@7e9602c9","net.sourceforge.jtds.jdbc.ClobImpl@6ac352be",1990,"Proc Natl Acad Sci U S A",87,5435,5439,"net.sourceforge.jtds.jdbc.ClobImpl@44005a51","PM:0002142531","0002142531",false,"No","","","DNA","none","direct",false,false,false,true,true,true,true,true,false,false,false
12,,"journal","Detection of p53 gene mutations in human brain tumors by single-strand conformation polymorphism analysis of polymerase chain reaction products","net.sourceforge.jtds.jdbc.ClobImpl@65811b01","net.sourceforge.jtds.jdbc.ClobImpl@2bcfdd32","net.sourceforge.jtds.jdbc.ClobImpl@5be93c57",1991,"Oncogene",6,1313,1318,"net.sourceforge.jtds.jdbc.ClobImpl@1dfd27a9","PM:0001886708","0001886708",false,"No","","","DNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
13,,"journal","p53 mutations, ras mutations, and p53-heat shock 70 protein complexes in human lung carcinoma cell lines","net.sourceforge.jtds.jdbc.ClobImpl@70c96e04","net.sourceforge.jtds.jdbc.ClobImpl@253a0b62","net.sourceforge.jtds.jdbc.ClobImpl@37a39016",1991,"Cancer Res",51,4090,4096,"net.sourceforge.jtds.jdbc.ClobImpl@43973924","PM:0001855224","0001855224",false,"No","","fresh","DNA","none","direct",false,true,true,true,true,true,true,true,true,true,true
14,,"journal","Increased expression of mutant forms of p53 oncogene in primary lung cancer","net.sourceforge.jtds.jdbc.ClobImpl@7815d61c","net.sourceforge.jtds.jdbc.ClobImpl@d01b367","net.sourceforge.jtds.jdbc.ClobImpl@2609a1f1",1990,"Lancet",335,675,679,"net.sourceforge.jtds.jdbc.ClobImpl@5c2df20d","PM:0001969059","0001969059",false,"No","","frozen","RNA","none","direct",true,false,false,false,true,true,true,true,false,false,false
15,,"journal","Mutational hotspot in the p53 gene in human hepatocellular carcinomas","net.sourceforge.jtds.jdbc.ClobImpl@ade7aa2","net.sourceforge.jtds.jdbc.ClobImpl@ac47a15","net.sourceforge.jtds.jdbc.ClobImpl@61295495",1991,"Nature",350,427,428,"net.sourceforge.jtds.jdbc.ClobImpl@52276f27","PM:0001849234","0001849234",false,"No","","fixed","DNA","none","direct",true,false,false,false,true,true,true,true,false,false,false
16,,"journal","p53 mutations in human lymphoid malignancies: association with Burkitt lymphoma and chronic lymphocytic leukemia","net.sourceforge.jtds.jdbc.ClobImpl@2b5504ab","net.sourceforge.jtds.jdbc.ClobImpl@268c706","net.sourceforge.jtds.jdbc.ClobImpl@294eb622",1991,"Proc Natl Acad Sci U S A",88,5413,5417,"net.sourceforge.jtds.jdbc.ClobImpl@4079aa7b","PM:0002052620","0002052620",false,"No","","fixed","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
17,,"journal","Frequent mutations in the p53 tumor suppressor gene in human leukemia T- cell lines","net.sourceforge.jtds.jdbc.ClobImpl@438a9e83","net.sourceforge.jtds.jdbc.ClobImpl@79e3103","net.sourceforge.jtds.jdbc.ClobImpl@5bbd6874",1990,"Mol Cell Biol",10,5502,5509,"net.sourceforge.jtds.jdbc.ClobImpl@569a2b0a","PM:0002144611","0002144611",false,"No","","fresh","RNA","none","direct",false,true,true,true,true,true,true,true,true,true,true
18,18,"journal","Identification of p53 gene mutations in bladder cancers and urine samples","net.sourceforge.jtds.jdbc.ClobImpl@41f3c9dc","net.sourceforge.jtds.jdbc.ClobImpl@3713eec8","net.sourceforge.jtds.jdbc.ClobImpl@7ddde96",1991,"Science",252,706,709,"net.sourceforge.jtds.jdbc.ClobImpl@18671c","PM:0002024123","0002024123",false,"No","See ref 96","","DNA","none","cloned",false,false,false,false,true,true,true,true,true,false,false
19,7,"journal","p53 gene mutations occur in combination with 17p allelic deletions as late events in colorectal tumorigenesis","net.sourceforge.jtds.jdbc.ClobImpl@5ffaf3ea","net.sourceforge.jtds.jdbc.ClobImpl@77373373","net.sourceforge.jtds.jdbc.ClobImpl@1ef76a6d",1990,"Cancer Res",50,7717,7722,"net.sourceforge.jtds.jdbc.ClobImpl@5d14ce28","PM:0002253215","0002253215",false,"No","","","DNA","none","cloned",false,false,false,false,true,true,true,true,true,false,false
20,,"journal","p53 mutations in ovarian cancer: a late event?","net.sourceforge.jtds.jdbc.ClobImpl@55f913c3","net.sourceforge.jtds.jdbc.ClobImpl@1b1b1ea4","net.sourceforge.jtds.jdbc.ClobImpl@3e1abba8",1991,"Oncogene",6,1685,1690,"net.sourceforge.jtds.jdbc.ClobImpl@450447cd","PM:0001923532","0001923532",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
21,,"journal","Identification and characterization of a p53 gene mutation in a human osteosarcoma cell line","net.sourceforge.jtds.jdbc.ClobImpl@58fe33a5","net.sourceforge.jtds.jdbc.ClobImpl@1bd3e820","net.sourceforge.jtds.jdbc.ClobImpl@707fc709",1989,"Oncogene",4,1483,1488,"net.sourceforge.jtds.jdbc.ClobImpl@17a2cce4","PM:0002531855","0002531855",false,"No","","","RNA","none","cloned",false,true,true,true,true,true,true,true,true,true,true
22,,"journal","Mutations in the p53 gene are frequent in primary, resected non-small cell lung cancer. Lung Cancer Study Group","net.sourceforge.jtds.jdbc.ClobImpl@3e68b6ae","net.sourceforge.jtds.jdbc.ClobImpl@3afedbab","net.sourceforge.jtds.jdbc.ClobImpl@34b70472",1990,"Oncogene",5,1603,1610,"net.sourceforge.jtds.jdbc.ClobImpl@35733bec","PM:0001979160","0001979160",false,"No","","frozen","RNA","none","direct",true,true,true,true,true,true,true,true,true,true,true
23,,"journal","p53: a frequent target for genetic abnormalities in lung cancer","net.sourceforge.jtds.jdbc.ClobImpl@4e55362a","net.sourceforge.jtds.jdbc.ClobImpl@23a9fc8","net.sourceforge.jtds.jdbc.ClobImpl@ea29f69",1989,"Science",246,491,494,"net.sourceforge.jtds.jdbc.ClobImpl@2222690a","PM:0002554494","0002554494",false,"No","","frozen","RNA","none","cloned",false,true,true,true,true,true,true,true,true,true,true
24,,"journal","Frequent mutation of the p53 gene in human esophageal cancer","net.sourceforge.jtds.jdbc.ClobImpl@4521ef02","net.sourceforge.jtds.jdbc.ClobImpl@1333ecb1","net.sourceforge.jtds.jdbc.ClobImpl@9706069",1990,"Proc Natl Acad Sci U S A",87,9958,9961,"net.sourceforge.jtds.jdbc.ClobImpl@382b3274","PM:0002263646","0002263646",false,"No","","frozen","DNA","none","direct",true,false,false,false,true,true,true,true,true,false,false
25,25,"journal","Evidence that p53 behaves as a tumour suppressor gene in sporadic breast tumours (published erratum appears in Oncogene 1991 Nov;6(11):2161)","net.sourceforge.jtds.jdbc.ClobImpl@72b8938c","net.sourceforge.jtds.jdbc.ClobImpl@7e62bf0e","net.sourceforge.jtds.jdbc.ClobImpl@749beb83",1990,"Oncogene",5,1573,1579,"net.sourceforge.jtds.jdbc.ClobImpl@1542dff6","PM:0002250913","0002250913",false,"No","Samples re-analyzed in ref 130","","DNA","none","direct",false,false,false,false,true,true,false,false,false,false,false
26,,"journal","Archival analysis of p53 genetic and protein alterations in Chinese esophageal cancer","net.sourceforge.jtds.jdbc.ClobImpl@23501a21","net.sourceforge.jtds.jdbc.ClobImpl@48a15b8a","net.sourceforge.jtds.jdbc.ClobImpl@634d76ee",1991,"Oncogene",6,1779,1784,"net.sourceforge.jtds.jdbc.ClobImpl@6073b81e","PM:0001923503","0001923503",false,"No","","fixed","DNA","none","direct",true,false,false,false,true,true,true,true,false,false,false
27,,"journal","Genetic analysis of human esophageal tumors from two high incidence geographic areas: frequent p53 base substitutions and absence of ras mutations","net.sourceforge.jtds.jdbc.ClobImpl@43d12723","net.sourceforge.jtds.jdbc.ClobImpl@16e59d8","net.sourceforge.jtds.jdbc.ClobImpl@91cb51d",1991,"Cancer Res",51,4102,4106,"net.sourceforge.jtds.jdbc.ClobImpl@74524f68","PM:0001855226","0001855226",false,"No","","frozen","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
28,,"journal","Screening for TP53 mutations in osteosarcomas using constant denaturant gel electrophoresis (CDGE)","net.sourceforge.jtds.jdbc.ClobImpl@3e7086fe","net.sourceforge.jtds.jdbc.ClobImpl@4d23b871","net.sourceforge.jtds.jdbc.ClobImpl@217b4895",1993,"Hum Mutat",2,274,285,"net.sourceforge.jtds.jdbc.ClobImpl@47346add","PM:0008401536","0008401536",false,"No","","frozen","DNA","CDGE","direct",false,true,true,true,true,true,true,true,true,true,true
29,,"journal","Detection of frequent p53 gene mutations in primary gastric cancer by cell sorting and polymerase chain reaction single-strand conformation polymorphism analysis","net.sourceforge.jtds.jdbc.ClobImpl@7dc953b3","net.sourceforge.jtds.jdbc.ClobImpl@2df99c4b","net.sourceforge.jtds.jdbc.ClobImpl@563d4681",1991,"Cancer Res",51,3056,3058,"net.sourceforge.jtds.jdbc.ClobImpl@32bbbc19","PM:0002032245","0002032245",false,"No","","frozen","DNA","SSCP","cloned",false,false,false,true,true,true,true,true,false,false,false
30,,"journal","The spectrum of molecular alterations in the evolution of chronic myelocytic leukemia","net.sourceforge.jtds.jdbc.ClobImpl@5582536","net.sourceforge.jtds.jdbc.ClobImpl@64a2ea12","net.sourceforge.jtds.jdbc.ClobImpl@5897a149",1991,"J Clin Invest",87,2042,2047,"net.sourceforge.jtds.jdbc.ClobImpl@37238536","PM:0002040694","0002040694",false,"No","","frozen","DNA","none","direct",false,true,true,true,true,true,true,true,true,true,true
31,,"journal","Loss of chromosome 17p13 sequences and mutation of p53 in human breast carcinomas","net.sourceforge.jtds.jdbc.ClobImpl@73167771","net.sourceforge.jtds.jdbc.ClobImpl@97e17b","net.sourceforge.jtds.jdbc.ClobImpl@65ef85c9",1991,"Oncogene",6,413,421,"net.sourceforge.jtds.jdbc.ClobImpl@4e4eb677","PM:0002011397","0002011397",false,"No","","frozen","DNA","none","cloned",false,false,false,false,true,true,true,true,false,false,false
32,,"journal","Occurrence of p53 gene abnormalities in gastric carcinoma tumors and cell lines","net.sourceforge.jtds.jdbc.ClobImpl@ea3fd30","net.sourceforge.jtds.jdbc.ClobImpl@310049a6","net.sourceforge.jtds.jdbc.ClobImpl@28d85382",1991,"J Natl Cancer Inst",83,938,943,"net.sourceforge.jtds.jdbc.ClobImpl@139eb5e0","PM:0001676761","0001676761",false,"No","","frozen","DNA","none","cloned",true,true,true,true,true,false,true,true,true,true,true
33,33,"journal","Human pancreatic carcinomas and cell lines reveal frequent and multiple alterations in the p53 and Rb-1 tumor-suppressor genes","net.sourceforge.jtds.jdbc.ClobImpl@24580de","net.sourceforge.jtds.jdbc.ClobImpl@31bba449","net.sourceforge.jtds.jdbc.ClobImpl@5b95a5bf",1992,"Oncogene",7,1503,1511,"net.sourceforge.jtds.jdbc.ClobImpl@3d422a98","PM:0001630814","0001630814",false,"No","See ref 350 and 1473 for cell lines","frozen","DNA","none","cloned",true,false,false,true,true,true,true,true,true,true,false
34,,"journal","p53 gene mutations in colorectal tumors from patients with familial polyposis coli","net.sourceforge.jtds.jdbc.ClobImpl@13af0e9e","net.sourceforge.jtds.jdbc.ClobImpl@7fda794e","net.sourceforge.jtds.jdbc.ClobImpl@9948357",1991,"Cancer Res",51,2874,2878,"net.sourceforge.jtds.jdbc.ClobImpl@252e7e17","PM:0001851662","0001851662",false,"No","","frozen","RNA","DGGE","cloned",false,false,false,false,true,true,true,true,true,false,false
35,,"journal","The state of the p53 and retinoblastoma genes in human cervical carcinoma cell lines","net.sourceforge.jtds.jdbc.ClobImpl@4e9e4fd2","net.sourceforge.jtds.jdbc.ClobImpl@62a24f46","net.sourceforge.jtds.jdbc.ClobImpl@4f81e67e",1991,"Proc Natl Acad Sci U S A",88,5523,5527,"net.sourceforge.jtds.jdbc.ClobImpl@1989f75f","PM:0001648218","0001648218",false,"No","","","RNA","","cloned",false,false,false,false,true,true,true,true,false,false,false
36,,"journal","Occurrence of point mutations in p53 gene is not increased in patients with acute myeloid leukaemia carrying an activating N-ras mutation","net.sourceforge.jtds.jdbc.ClobImpl@2555db63","net.sourceforge.jtds.jdbc.ClobImpl@557d68f0","net.sourceforge.jtds.jdbc.ClobImpl@158fc637",1993,"Br J Haematol",84,443,450,"net.sourceforge.jtds.jdbc.ClobImpl@436af8d6","PM:0008217795","0008217795",false,"No","","frozen","DNA","none","cloned",false,false,false,true,true,true,true,true,true,false,false
37,,"journal","Use of the single strand conformation polymorphism technique and PCR to detect p53 gene mutations in small cell lung cancer","net.sourceforge.jtds.jdbc.ClobImpl@48efad1b","net.sourceforge.jtds.jdbc.ClobImpl@766b661e","net.sourceforge.jtds.jdbc.ClobImpl@1dbea89a",1991,"Oncogene",6,1067,1071,"net.sourceforge.jtds.jdbc.ClobImpl@9864fb3","PM:0001648702","0001648702",false,"No","","","DNA","SSCP","direct",false,false,false,true,true,true,true,true,true,false,false
38,,"journal","Maintenance of p53 alterations throughout breast cancer progression","net.sourceforge.jtds.jdbc.ClobImpl@3cb4aced","net.sourceforge.jtds.jdbc.ClobImpl@11c266f3","net.sourceforge.jtds.jdbc.ClobImpl@79d0e629",1991,"Cancer Res",51,2605,2610,"net.sourceforge.jtds.jdbc.ClobImpl@4290d577","PM:0001850660","0001850660",false,"No","","frozen","RNA","IHC","direct",false,false,false,true,true,true,true,true,true,true,false
39,,"journal","Mutations of the p53 gene in adult T-cell leukemia","net.sourceforge.jtds.jdbc.ClobImpl@5bdaca0c","net.sourceforge.jtds.jdbc.ClobImpl@592dda7a","net.sourceforge.jtds.jdbc.ClobImpl@27b28ed8",1992,"Blood",79,477,480,"net.sourceforge.jtds.jdbc.ClobImpl@634dcc34","PM:0001730092","0001730092",false,"No","","frozen","DNA","none","direct",false,false,false,true,true,true,true,true,false,false,false
40,,"journal","p53 in chronic myelogenous leukemia in acute phase","net.sourceforge.jtds.jdbc.ClobImpl@6ecae0fb","net.sourceforge.jtds.jdbc.ClobImpl@59831952","net.sourceforge.jtds.jdbc.ClobImpl@6a7488f4",1991,"Proc Natl Acad Sci U S A",88,6293,6297,"net.sourceforge.jtds.jdbc.ClobImpl@6755d5e2","PM:0002068108","0002068108",false,"No","","","RNA","","cloned",false,false,false,false,true,true,true,true,false,false,false
41,,"journal","Expression of p53 in human neuroblastoma- and neuroepithelioma-derived cell lines","net.sourceforge.jtds.jdbc.ClobImpl@5ea13ccb","net.sourceforge.jtds.jdbc.ClobImpl@1f29e7c4","net.sourceforge.jtds.jdbc.ClobImpl@5154fffd",1992,"Oncogene",7,127,133,"net.sourceforge.jtds.jdbc.ClobImpl@18e7caf0","PM:0001741160","0001741160",false,"No","","","RNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
42,,"journal","Mutation of the p53 gene in human acute myelogenous leukemia","net.sourceforge.jtds.jdbc.ClobImpl@4f77ea43","net.sourceforge.jtds.jdbc.ClobImpl@1f3023ae","net.sourceforge.jtds.jdbc.ClobImpl@696d8ca2",1991,"Blood",77,1500,1507,"net.sourceforge.jtds.jdbc.ClobImpl@4ffb7b35","PM:0002009369","0002009369",false,"No","","frozen","DNA","none","cloned",false,false,false,false,true,true,true,true,true,false,false
43,,"journal","High frequency of p53 gene alterations associated with protein overexpression in human squamous cell carcinoma of the larynx","net.sourceforge.jtds.jdbc.ClobImpl@3faea57b","net.sourceforge.jtds.jdbc.ClobImpl@219ddc73","net.sourceforge.jtds.jdbc.ClobImpl@24904c7e",1992,"Oncogene",7,1159,1166,"net.sourceforge.jtds.jdbc.ClobImpl@3026b90a","PM:0001594246","0001594246",false,"No","","fresh","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
44,,"journal","Frequency and diversity of p53 mutations in childhood rhabdomyosarcoma","net.sourceforge.jtds.jdbc.ClobImpl@7ae95708","net.sourceforge.jtds.jdbc.ClobImpl@35587262","net.sourceforge.jtds.jdbc.ClobImpl@130d3b0b",1992,"Cancer Res",52,2243,2247,"net.sourceforge.jtds.jdbc.ClobImpl@16662e89","PM:0001559227","0001559227",false,"No","","frozen","DNA","SSCP","direct",false,false,false,true,true,true,true,true,false,false,false
45,,"journal","Correlation between molecular and clinical events in the evolution of chronic myelocytic leukemia to blast crisis","net.sourceforge.jtds.jdbc.ClobImpl@26876a5a","net.sourceforge.jtds.jdbc.ClobImpl@50bad78a","net.sourceforge.jtds.jdbc.ClobImpl@2a956bf5",1991,"Blood",77,2441,2444,"net.sourceforge.jtds.jdbc.ClobImpl@da00a48","PM:0002039825","0002039825",false,"No","","frozen","DNA","none","direct",false,true,true,true,true,true,true,true,true,true,true
46,,"journal","Mutations of the p53 gene in human myeloma cell lines (published erratum appears in Oncogene 1993 Apr;8(4):1107)","net.sourceforge.jtds.jdbc.ClobImpl@10e8741c","net.sourceforge.jtds.jdbc.ClobImpl@1668f70c","net.sourceforge.jtds.jdbc.ClobImpl@17a3ecf7",1992,"Oncogene",7,1015,1018,"net.sourceforge.jtds.jdbc.ClobImpl@1adc4601","PM:0001373872","0001373872",false,"No","","","DNA","SSCP","direct",false,true,false,false,true,true,true,true,true,false,false
47,47,"journal","p53 expression is associated with a high degree of tumor DNA aneuploidy and incidence of p53 gene mutation, and is localized tot he aneuploid component in colorectal carcinomas","net.sourceforge.jtds.jdbc.ClobImpl@49c799d2","net.sourceforge.jtds.jdbc.ClobImpl@18c6d771","net.sourceforge.jtds.jdbc.ClobImpl@108a54ca",1993,"Int J Oncol",3,305,312,"","PM:21573365","21573365",false,"No","See ref 1134","frozen","DNA","DGGE","direct",false,false,false,false,true,true,true,true,false,false,false
48,,"journal","The spectrum of TP53 mutations in bladder carcinoma","net.sourceforge.jtds.jdbc.ClobImpl@689ef494","net.sourceforge.jtds.jdbc.ClobImpl@1de2e95c","net.sourceforge.jtds.jdbc.ClobImpl@3331d8ce",1994,"Genes Chromosomes Cancer",9,108,118,"net.sourceforge.jtds.jdbc.ClobImpl@715ff666","PM:0007513540","0007513540",false,"No","","frozen","DNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
49,,"journal","p53 gene mutations and protein accumulation in human ovarian cancer","net.sourceforge.jtds.jdbc.ClobImpl@6e7a968d","net.sourceforge.jtds.jdbc.ClobImpl@64583a17","net.sourceforge.jtds.jdbc.ClobImpl@591279fa",1993,"Proc Natl Acad Sci U S A",90,4961,4965,"net.sourceforge.jtds.jdbc.ClobImpl@57705878","PM:0008506342","0008506342",false,"No","","frozen","DNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
50,50,"journal","High frequency of somatically acquired p53 mutations in small-cell lung cancer cell lines and tumors","net.sourceforge.jtds.jdbc.ClobImpl@6d0472e5","net.sourceforge.jtds.jdbc.ClobImpl@48a975d0","net.sourceforge.jtds.jdbc.ClobImpl@2be0896",1992,"Oncogene",7,339,346,"net.sourceforge.jtds.jdbc.ClobImpl@57583321","PM:0001312696","0001312696",false,"No","See ref 166","","DNA","SSCP/Mismatch","direct",false,true,true,true,true,true,true,true,true,true,true
51,51,"journal","Pancreatic adenocarcinomas frequently show p53 gene mutations","net.sourceforge.jtds.jdbc.ClobImpl@1985e075","net.sourceforge.jtds.jdbc.ClobImpl@1a810160","net.sourceforge.jtds.jdbc.ClobImpl@6809501e",1993,"Am J Pathol",142,1534,1543,"net.sourceforge.jtds.jdbc.ClobImpl@7edeb705","PM:0008494051","0008494051",false,"No","See ref 871, 687; prevalence for Italian patients in 1564","fixed/frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
52,,"journal","p53 mutations in nonastrocytic human brain tumors","net.sourceforge.jtds.jdbc.ClobImpl@48ee66e3","net.sourceforge.jtds.jdbc.ClobImpl@5af6e49f","net.sourceforge.jtds.jdbc.ClobImpl@78ddd67f",1991,"Cancer Res",51,6202,6205,"net.sourceforge.jtds.jdbc.ClobImpl@73b020fe","PM:0001933879","0001933879",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
53,,"journal","Detection and sequencing of p53 gene mutations in bronchial biopsy samples in patients with lung cancer","net.sourceforge.jtds.jdbc.ClobImpl@48528915","net.sourceforge.jtds.jdbc.ClobImpl@25ed4e9c","net.sourceforge.jtds.jdbc.ClobImpl@33150a70",1993,"Chest",104,362,365,"net.sourceforge.jtds.jdbc.ClobImpl@41507b3c","PM:0008393397","0008393397",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
54,,"journal","A role for sunlight in skin cancer: UV-induced p53 mutations in squamous cell carcinoma","net.sourceforge.jtds.jdbc.ClobImpl@1d964822","net.sourceforge.jtds.jdbc.ClobImpl@52406ca2","net.sourceforge.jtds.jdbc.ClobImpl@491dba10",1991,"Proc Natl Acad Sci U S A",88,10124,10128,"net.sourceforge.jtds.jdbc.ClobImpl@b56b194","PM:0001946433","0001946433",false,"No","","fixed","DNA","none","direct",true,true,false,true,true,true,true,true,true,false,false
55,,"journal","Overexpression and mutation of p53 in endometrial carcinoma","net.sourceforge.jtds.jdbc.ClobImpl@24ae3f84","net.sourceforge.jtds.jdbc.ClobImpl@755a62cf","net.sourceforge.jtds.jdbc.ClobImpl@51b38b4e",1992,"Cancer Res",52,1622,1627,"net.sourceforge.jtds.jdbc.ClobImpl@6fd75afd","PM:0001540970","0001540970",false,"No","","frozen","RNA","none","direct",true,false,false,true,true,true,true,true,true,true,false
56,,"journal","Infrequent p53 gene mutations in medulloblastomas","net.sourceforge.jtds.jdbc.ClobImpl@3ad01a9c","net.sourceforge.jtds.jdbc.ClobImpl@1cba4b13","net.sourceforge.jtds.jdbc.ClobImpl@511e5a31",1991,"Cancer Res",51,4721,4723,"net.sourceforge.jtds.jdbc.ClobImpl@4cbe25d","PM:0001873817","0001873817",false,"No","","frozen","DNA","none","direct",false,false,false,false,true,true,true,true,true,false,false
