"Prevalence_ID","Ref_ID","Topo_code","Morpho_ID","Sample_analyzed","Sample_mutated","Country_ID","Comment"
109,93,"C50",3,15,8,54,""
110,830,"C15",103,27,23,15,"Barrett's esophagus"
111,830,"C15",53,21,17,15,""
112,1319,"C00-C14",53,106,72,15,""
113,1318,"C00-C14",53,107,40,15,""
114,122,"C50",16,15,5,54,""
115,130,"C50",3,136,34,29,""
116,188,"C50",16,23,2,16,""
117,193,"C50",16,109,17,31,""
118,270,"C50",16,118,34,36,""
119,288,"C50",3,81,13,29,""
121,346,"C50",3,39,14,15,""
122,379,"C50",3,104,27,54,"29 samples were from family history of cancer (17 mutated)"
123,388,"C50",3,16,5,19,""
124,399,"C50",3,141,31,27,""
126,437,"C50",340,50,13,36,""
127,445,"C50",103,29,12,54,""
128,447,"C50",3,47,16,54,""
129,450,"C50",3,26,5,54,""
130,466,"C50",3,60,14,10,""
131,507,"C50",103,92,18,54,""
132,536,"C50",3,23,11,17,""
133,544,"C50",1,60,5,54,""
134,1544,"C50",16,91,26,21,""
135,631,"C73",44,33,1,2,""
136,599,"C50",16,186,30,31,""
137,601,"C50",3,27,16,36,""
139,662,"C50",340,18,9,54,""
140,728,"C50",3,57,30,36,"13/46 mutated in South Japan, 17/21 in North"
141,735,"C50",16,30,11,32,""
142,760,"C50",16,27,3,31,"BRCA2 carriers"
144,890,"C50",3,81,12,31,""
145,911,"C50",3,51,7,25,""
146,363,"C71",824,62,13,50,""
147,363,"C71",840,23,3,50,""
148,363,"C71",846,20,7,50,""
149,363,"C71",820,11,0,50,""
150,153,"C71",824,22,7,85,"3/8 grade II and 4/14 grade III mutated"
151,674,"C71",824,7,2,54,""
152,674,"C71",835,11,5,54,""
153,326,"C71",824,40,7,54,""
154,955,"C71",846,18,1,24,""
155,955,"C71",824,10,3,24,""
156,955,"C71",820,6,1,24,""
157,394,"C71",824,15,8,4,""
158,227,"C71",835,11,5,54,""
159,1192,"C71",835,29,11,6,""
160,1030,"C71",827,28,23,85,""
161,980,"C71",835,42,18,36,""
162,858,"C71",824,22,12,16,"Grade 2 cases"
163,848,"C71",831,7,1,16,""
164,848,"C71",824,18,1,16,""
165,848,"C71",825,4,1,16,""
166,882,"C71",825,15,10,36,""
167,521,"C71",670,12,4,36,""
168,839,"C71",824,15,4,36,""
169,839,"C71",825,20,4,36,""
170,839,"C71",835,13,3,36,""
171,958,"C71",836,16,12,26,""
172,784,"C71",831,16,0,85,""
173,784,"C71",824,8,2,85,""
174,784,"C71",825,9,3,85,""
175,784,"C71",835,50,8,85,""
176,784,"C71",814,7,1,85,""
177,784,"C71",841,5,1,85,""
178,900,"C71",835,19,2,26,"Primary tumors"
179,900,"C71",835,18,14,26,"Recurrent from grade II Astrocytomas"
180,900,"C71",835,11,5,26,"Recurrent from Anaplastic Astrocytomas grade III"
181,1025,"C67",89,28,10,14,""
182,731,"C67",3,69,20,16,""
183,514,"C67",53,53,17,8,""
184,514,"C67",89,23,8,8,""
185,514,"C67",103,13,4,8,""
186,945,"C50",3,33,6,1,""
187,1039,"C50",3,20,7,29,"Sporadic cases"
188,1039,"C50",3,28,19,29,"BRCA1 carriers"
189,1039,"C50",3,22,14,29,"BRCA2 carriers"
190,1208,"C71",831,20,11,27,""
191,817,"C67",3,18,9,85,"Secondary cancer after cyclophosphamide therapy"
192,389,"C67",16,13,8,50,""
193,457,"C67",16,11,4,19,"Aromatic-amine exposed patients"
194,457,"C67",16,11,3,19,""
195,476,"C67",3,38,8,54,""
199,527,"C67",53,21,12,47,"Invasive cancers"
200,658,"C67",89,34,16,54,"Arylamine exposed patients"
201,658,"C67",89,30,17,54,""
202,908,"C67",89,28,13,29,"Primary and recurrent tumors"
203,995,"C67",89,16,2,36,"Primary tumors, aromatic amine-exposed patients"
204,995,"C67",89,10,10,36,"Nonoccupational bladder carcinoma"
205,1011,"C67",89,21,8,16,"Aromatic-amine exposed patients"
206,1292,"C67",1041,10,4,30,"Patients from Chernobyl contaminated area"
207,937,"C50",16,114,26,50,""
208,22,"C34",41,51,23,54,""
209,906,"C34",16,92,47,14,""
210,894,"C34",41,80,17,24,""
211,620,"C34",41,50,8,7,""
212,651,"C34",41,24,9,26,""
213,563,"C34",41,35,7,7,""
214,563,"C34",41,35,11,36,""
215,749,"C34",41,27,18,6,""
216,15,"C22",137,16,8,6,"Patients from high AFB1 exposure area"
217,97,"C22",137,36,21,6,"only codon 249 (c.747G>T) analyzed"
218,172,"C22",137,20,9,6,"Patients from Qidong"
219,172,"C22",137,18,3,6,"Patients from Shanghai"
220,269,"C22",137,20,3,36,""
221,320,"C22",137,26,15,6,"Patients from Qidong"
222,320,"C22",137,9,5,6,"Patients from Beijing"
223,324,"C22",137,21,6,7,""
224,328,"C22",137,16,9,39,""
225,328,"C22",137,22,2,47,""
226,328,"C22",137,28,5,6,""
227,328,"C22",137,13,3,16,""
228,344,"C22",137,19,6,16,""
229,369,"C62",666,17,4,6,""
230,854,"C22",137,28,14,6,"only codon 249 (c.747G>T) analyzed"
231,997,"C18",103,67,29,7,""
232,1058,"C18-C20",103,99,35,7,""
233,1118,"C20",3,22,10,6,"Schistosomiasis japonica associated cancers"
234,1118,"C20",3,22,9,6,"Non-Schistosomiasis cancers"
235,1329,"C50",16,23,5,6,""
236,903,"C67",53,14,4,8,""
237,903,"C67",89,8,4,8,""
238,951,"C50",340,36,5,29,""
239,969,"C50",3,375,70,1,""
240,986,"C50",16,130,18,36,""
242,1003,"C50",2,222,77,27,""
243,1641,"C50",3,316,69,25,""
244,1029,"C50",3,14,3,15,"BRCA1 carriers"
245,1035,"C50",3,64,20,15,""
246,1052,"C50",16,113,18,15,""
247,931,"C50",16,31,11,19,""
248,1147,"C49",700,19,2,16,""
249,1173,"C50",3,200,57,10,""
250,1210,"C50",3,13,10,4,"BRCA1 carriers"
251,1231,"C50",3,16,12,4,""
252,1231,"C56",3,18,12,4,""
253,1234,"C50",354,23,17,15,""
254,1250,"C50",3,34,7,16,""
255,1260,"C50",3,21,3,1,"Sporadic cases"
256,1269,"C50",3,123,23,25,"Early onset cancer"
257,1279,"C50",645,18,0,27,"includes 8 borderline cases"
258,1293,"C50",3,180,58,26,""
259,1305,"C50",3,384,234,54,""
260,1307,"C50",343,10,1,54,""
261,50,"C34",36,20,16,54,""
262,1370,"C34",16,24,21,6,"smoky coal exposed patients"
263,58,"C34",41,77,57,54,""
264,60,"C34",16,20,7,54,""
265,70,"C34",36,6,4,36,""
266,100,"C34",53,5,1,85,""
267,100,"C34",103,7,1,85,""
268,100,"C34",36,27,20,85,""
269,106,"C38",656,17,2,85,"Cell-lines"
270,124,"C34",103,58,24,36,""
271,124,"C34",53,37,25,36,""
272,124,"C34",21,14,8,36,""
273,124,"C34",376,6,3,36,""
274,141,"C34",36,28,17,16,""
275,241,"C34",21,11,8,54,""
276,241,"C34",53,41,21,54,""
277,255,"C34",170,24,3,16,""
278,276,"C61",16,10,1,54,""
279,277,"C34",41,18,9,36,""
280,3,"C22",137,10,5,47,""
281,8,"C22",137,43,8,36,""
282,63,"C22",137,7,1,15,""
283,63,"C22",617,7,0,15,""
284,127,"C22",137,13,2,16,""
285,138,"C22",137,18,1,54,""
286,140,"C22",137,15,2,51,""
288,147,"C22",137,61,20,50,""
289,302,"C34",41,9,4,36,"Atomic bomb survivors (non-smokers)"
290,302,"C34",41,5,2,36,"Non-smokers"
291,333,"C34",53,5,4,26,""
292,333,"C34",103,9,3,26,""
293,333,"C34",36,9,2,26,""
294,2380,"C34",53,104,72,21,""
295,2380,"C34",103,106,47,21,""
296,2380,"C34",21,48,29,21,""
298,342,"C34",41,7,2,54,""
299,354,"C34",103,41,10,54,""
300,405,"C34",103,37,14,14,""
301,405,"C34",53,51,30,14,""
302,408,"C34",3,12,6,36,"Mustard gas exposed workers"
303,470,"C34",103,30,11,36,""
304,477,"C34",53,10,2,54,""
305,477,"C39",53,59,17,54,""
307,170,"C22",137,169,49,36,""
308,479,"C34",103,23,10,50,""
309,479,"C34",53,11,5,50,""
310,488,"C34",53,37,9,54,""
311,511,"C34",103,32,11,27,""
312,511,"C34",53,11,9,27,""
313,511,"C34",21,9,6,27,""
314,538,"C34",3,63,18,36,""
316,571,"C34",41,14,4,54,""
317,581,"C34",41,85,25,54,""
318,646,"C34",41,30,12,54,""
319,650,"C38",656,15,1,11,""
320,681,"C34",619,21,5,54,""
322,685,"C34",41,66,27,36,""
323,686,"C34",103,13,3,36,""
324,686,"C34",53,8,2,36,""
325,686,"C34",36,6,3,36,""
326,686,"C34",21,1,1,36,""
328,699,"C49",700,33,17,36,""
329,781,"C34",41,10,1,36,"Asbestos exposed patients"
330,781,"C34",41,19,4,36,"Cases not exposed to Asbestos"
331,802,"C34",41,12,3,54,"Second primary cancer after radiation therapy for SCLC"
332,823,"C34",103,122,32,36,""
333,823,"C34",53,71,34,36,""
334,823,"C34",21,11,9,36,""
335,941,"C34",182,51,13,19,""
336,942,"C34",41,59,15,24,""
337,942,"C34",41,92,14,22,"+ 1 SNP deleted"
338,1004,"C34",103,35,7,19,"Non-smokers"
339,1004,"C34",103,35,8,19,"Heavy-smokers"
340,1012,"C34",41,69,18,36,"Non-smokers"
341,1020,"C34",103,30,11,36,"Stage I cases"
342,1034,"C34",41,27,14,54,""
343,1066,"C34",53,35,13,36,""
345,1073,"C00-C14",53,33,14,54,""
347,1371,"C34",3,243,58,25,""
348,1372,"C34",41,91,7,85,"Non-smokers"
349,1372,"C34",41,66,16,85,"smokers"
350,547,"C62",666,15,1,54,""
352,696,"C62",3,18,6,16,""
353,771,"C62",670,42,2,85,""
354,171,"C22",137,53,17,36,""
355,191,"C22",137,19,2,29,""
356,195,"C22",137,45,4,50,""
357,213,"C22",137,13,3,50,""
358,217,"C22",137,63,18,36,""
359,245,"C22",137,34,10,36,""
360,283,"C22",700,4,2,85,"Vinyl-chloride exposed patients"
361,294,"C22",132,38,12,51,""
362,321,"C22",137,41,12,36,""
363,2021,"C22",137,178,88,50,""
364,497,"C22",617,10,9,36,""
365,529,"C22",137,16,1,13,"Thorotrast-exposed patients"
366,529,"C22",132,9,0,13,"Thorotrast-exposed patients"
367,529,"C22",700,9,0,13,"Thorotrast-exposed patients"
368,590,"C22",137,10,1,54,""
369,591,"C22",137,38,16,50,""
370,609,"C22",137,12,5,54,""
371,614,"C22",137,20,2,16,""
372,634,"C22",617,38,0,85,""
373,645,"C22",137,23,10,29,""
374,755,"C22",137,16,3,6,"Patients from Xi'an"
375,770,"C18-C20",16,33,23,57,"Metastasis (in liver)"
376,770,"C18",16,19,13,57,"Primary tumors"
377,773,"C34",103,32,7,36,""
378,773,"C34",53,17,5,36,""
379,773,"C34",36,5,1,36,""
380,775,"C22",137,12,8,29,"Cirrhosis"
381,2485,"C22",137,44,13,46,"Chinese cases"
382,853,"C67",3,14,1,6,"Superficial tumors"
383,853,"C67",3,7,4,6,"Invasive cancers"
384,1008,"C22",137,26,6,7,""
385,880,"C49",700,21,2,54,"No associated risk factors"
386,920,"C22",137,47,0,54,"only codon 249 (c.747G>T) analyzed"
387,925,"C22",137,15,10,45,"only codon 249 (c.747G>T) analyzed"
388,1033,"C22",137,15,2,19,"HCV positive patients"
389,52,"C71",840,17,2,85,""
390,52,"C71",843,19,2,85,""
391,52,"C71",820,15,0,85,""
392,56,"C71",843,12,0,54,""
393,71,"C71",835,23,10,54,"Primary tumors"
394,71,"C71",835,10,3,54,"Recurrent tumors"
395,72,"C71",835,25,7,54,""
396,72,"C71",825,14,5,54,""
397,111,"C71",812,8,0,36,"Mutations present in 3/8 recurrences of the same patients"
398,1373,"C15",53,98,49,34,""
399,824,"C41",733,31,11,54,""
400,983,"C41",532,19,2,16,""
401,1069,"C18-C20",3,65,17,85,""
402,1045,"C18",16,17,3,36,"HNPCC patients"
403,1049,"C18",3,24,9,16,""
404,1023,"C18",103,20,10,19,""
405,1064,"C18-C20",100,19,9,36,""
406,1064,"C18-C20",103,10,5,36,""
407,1059,"C18-C20",3,46,21,54,"Advanced stage cases"
408,1055,"C49",567,37,16,36,""
409,762,"C16",907,11,2,19,"High-grade MALT-lymphoma"
410,477,"C34",103,19,6,54,""
411,477,"C34",21,1,1,54,""
412,79,"C41",768,37,2,10,""
413,1358,"C30",947,42,19,36,""
414,1363,"C56",2,19,1,54,""
415,1363,"C56",2,31,17,54,""
416,757,"C18-C20",16,43,26,13,""
417,1314,"C34",103,113,43,36,""
418,2335,"C34",53,74,46,36,""
419,119,"C71",824,11,4,57,"Low grade cases"
420,119,"C49",719,7,1,57,""
421,148,"C71",824,25,4,24,"4/35 gliomas mutated"
423,1210,"C50",3,33,10,4,"Sporadic cases"
426,1260,"C50",3,10,3,1,"BRCA1 carriers"
427,1260,"C50",3,9,1,1,"BRCA2 carriers"
428,1204,"C34",103,66,26,36,"Stage I cases"
429,1204,"C34",53,28,17,36,"Stage I cases"
430,1204,"C34",376,5,2,36,"Stage I cases"
431,1204,"C34",21,4,3,36,"Stage I cases"
432,1374,"C50",16,31,3,22,"Invasive cancers"
433,1375,"C34",53,31,15,85,""
434,1375,"C34",103,32,9,85,""
435,1375,"C34",21,5,3,85,"Undifferentiated carcinoma"
436,1378,"C71",824,23,4,36,""
437,1380,"C77",907,30,6,36,""
439,1383,"C44",53,13,7,54,""
440,1383,"C44",1037,16,11,54,""
441,1384,"C71",835,12,1,55,"Primary tumors"
442,1385,"C22",137,27,5,17,""
443,1387,"C44",53,18,8,85,"XP patients"
444,1387,"C44",70,10,4,85,"XP patients"
445,1388,"C11",16,20,4,51,""
446,1389,"C22",137,30,7,7,"HBV positive patients"
447,1389,"C22",137,20,8,6,"HBV positive patients from Shangai"
448,1389,"C22",137,16,5,36,"HCV positive patients"
449,1389,"C22",137,17,1,54,"HBV negative patients"
450,1391,"C71",825,14,9,36,""
451,1391,"C71",835,27,7,36,""
452,1392,"C50",16,315,74,13,""
455,2131,"C18-C20",16,37,7,21,"MSI cases"
456,1395,"C18-C20",103,88,43,10,""
457,1397,"C51",53,36,21,29,""
458,1397,"C44",53,16,9,29,"non-melanoma"
459,1397,"C00-C14",53,26,14,29,""
460,1399,"C61",103,55,11,36,""
461,1400,"C15",53,56,23,51,"South Thailand"
462,1401,"C50",339,17,8,15,""
463,1402,"C18",103,28,12,29,""
465,1572,"C56",16,178,99,85,""
466,691,"C20",103,34,14,15,""
467,691,"C18",103,75,30,15,""
468,693,"C18-C20",3,72,36,14,""
469,1406,"C00-C14",53,94,40,16,""
470,985,"C67",89,54,18,29,""
471,1306,"C67",16,104,24,15,""
472,794,"C67",16,84,44,36,""
473,1240,"C67",16,105,38,36,""
474,1407,"C18-C20",16,23,16,36,""
475,1408,"C77",907,83,8,21,""
476,1409,"C32",53,32,4,16,""
477,1354,"C67",3,51,14,4,""
478,944,"C67",3,45,9,19,""
479,1410,"C34",41,25,8,54,""
480,1412,"C22",137,22,9,50,""
481,1413,"C06",53,18,13,29,""
482,2271,"C50",1,409,107,4,""
483,1416,"C42",981,25,5,24,""
484,1416,"C77",932,14,3,24,""
485,1416,"C77",924,17,6,24,""
486,1416,"C77",928,10,3,24,""
487,1416,"C77",907,5,2,24,""
488,1417,"C06",53,38,12,36,""
489,1419,"C34",53,38,22,22,""
490,1419,"C34",21,12,5,22,""
491,1419,"C34",103,24,7,22,""
492,1421,"C18",16,8,3,16,""
494,1350,"C73",936,19,2,36,""
495,1423,"C15",53,44,17,32,""
496,1424,"C18-C20",16,995,385,1,""
497,1425,"C50",16,1037,178,1,""
498,1426,"C54",264,58,8,85,""
499,1426,"C54",304,45,6,85,""
500,1427,"C50",15,58,13,54,""
503,461,"C56",304,31,14,36,""
504,461,"C56",333,12,4,36,""
505,971,"C56",16,64,29,27,""
506,49,"C56",3,38,30,54,""
507,431,"C56",16,54,14,36,""
508,1428,"C49",650,49,9,36,""
509,1429,"C16",16,43,9,16,""
511,133,"C56",16,66,29,29,""
512,1432,"C56",16,48,29,19,""
513,1436,"C42",993,200,9,36,""
514,1437,"C71",831,29,1,6,""
515,1439,"C50",16,25,3,32,""
516,1440,"C77",928,12,4,36,""
517,1443,"C34",182,58,15,36,"With some cases of ref 1442"
518,1444,"C49",519,13,1,36,""
519,145,"C41",768,48,2,36,""
520,183,"C80",500,127,29,85,""
521,1449,"C16",103,105,8,19,""
522,1450,"C20",16,59,15,14,"Radiation-associated secondary cancers"
523,1451,"C42",981,97,6,29,""
524,1452,"C67",16,66,8,16,""
525,1455,"C56",3,43,22,4,"+ 1 SNP deleted"
526,1458,"C71",824,37,14,36,""
527,1459,"C50",3,36,6,37,""
528,1461,"C67",89,21,5,19,""
529,39,"C42",983,10,5,36,""
530,555,"C18-C20",103,192,109,46,""
531,1462,"C42",907,29,4,13,""
532,1463,"C71",835,6,1,54,""
533,1465,"C67",89,24,2,36,""
534,1466,"C50",3,13,8,4,"BRCA1 carriers"
535,1468,"C53",53,17,2,51,"HPV positive cases"
536,1468,"C53",3,21,1,51,""
537,1471,"C71",670,19,5,37,""
538,1474,"C42",907,40,4,26,"High grade cases"
539,1475,"C24",132,29,4,29,""
540,1476,"C16",16,52,8,36,""
542,1478,"C16",3,23,14,6,""
543,1478,"C16",1041,16,5,6,""
544,1478,"C16",1039,17,2,6,"Intestinal-type"
546,1479,"C67",3,14,1,6,"Superficial tumors"
547,1479,"C67",3,7,4,6,"Invasive cancers"
548,16,"C77",930,27,9,85,""
549,16,"C42",982,9,5,85,""
550,16,"C42",981,40,6,85,""
551,98,"C18-C20",100,95,3,36,"Familial Adenomatous Polyposis"
552,98,"C18-C20",15,40,6,36,"Familial Adenomatous Polyposis"
553,98,"C18-C20",16,25,10,36,"Familial Adenomatous Polyposis (invasive cancers)"
554,173,"C18-C20",100,21,3,54,""
555,173,"C18-C20",16,149,84,54,""
556,440,"C44",1037,45,27,54,""
559,767,"C50",3,368,62,31,""
560,767,"C50",3,34,10,31,"BRCA2 carriers"
561,761,"C50",3,7,7,29,"BRCA1 carriers"
562,1140,"C56",3,29,24,54,"BRCA1 carriers"
563,1140,"C56",3,11,8,54,"BRCA2 carriers"
564,1340,"C48",319,11,8,54,"BRCA1 carriers"
565,1340,"C48",319,32,14,54,""
566,769,"C61",16,30,15,54,""
567,1018,"C65",89,20,9,1,"Phenacetin exposed patients"
568,1018,"C65",89,16,8,1,"Phenacetin and tobacco exposed patients"
569,1018,"C65",89,34,8,1,"Tobacco exposed patients"
570,1018,"C65",89,19,9,1,"Non-exposed patients"
571,1137,"C20",103,83,49,15,""
572,1342,"C71",825,39,26,25,""
573,1342,"C71",824,15,10,25,""
574,708,"C18-C20",103,43,19,54,""
576,912,"C18-C20",103,40,14,26,""
577,331,"C42",990,36,10,54,"Relapse cases"
578,768,"C71",840,44,6,16,"Grade 2 cases"
579,768,"C71",840,19,4,16,"Grade 3 cases"
580,768,"C71",835,15,4,16,""
581,1217,"C44",906,55,13,29,""
582,86,"C18-C20",100,2,2,36,""
583,882,"C71",835,39,16,36,""
584,736,"C64",215,20,6,57,"Chromophobe RCC"
585,772,"C37",399,18,2,36,""
586,868,"C56",3,23,10,29,"p53 IHC positive tumors"
587,957,"C18-C20",16,72,13,20,""
588,959,"C44",1038,16,2,54,""
589,1326,"C18-C20",3,142,73,10,""
590,18,"C67",89,18,11,54,""
591,19,"C18-C20",100,25,6,54,""
592,19,"C18-C20",16,33,23,54,""
593,20,"C56",3,30,11,57,""
594,30,"C42",994,25,8,85,"Blast crisis of myeloid phenotype"
595,36,"C42",993,20,2,26,""
596,40,"C42",994,9,2,85,""
597,1134,"C18-C20",16,42,22,21,""
598,48,"C67",3,88,16,29,""
599,54,"C44",53,11,8,54,""
600,54,"C44",53,13,6,25,""
601,59,"C71",846,14,1,54,""
602,74,"C77",943,17,1,54,""
603,81,"C44",16,8,5,52,"XP patients"
604,83,"C77",983,12,2,36,""
605,84,"C56",16,23,8,54,""
606,917,"C18-C20",16,72,19,24,""
607,101,"C64",215,23,1,36,""
608,104,"C61",103,21,2,36,""
609,105,"C73",16,7,6,36,""
610,108,"C80",932,34,9,54,""
612,114,"C44",53,10,2,54,""
613,115,"C18",3,24,16,24,""
614,116,"C55",103,24,3,36,""
615,126,"C44",70,14,7,54,""
616,131,"C53",16,92,2,29,""
617,137,"C67",16,16,10,26,""
618,154,"C53",53,30,1,36,""
619,154,"C53",103,6,1,36,""
620,155,"C56",3,24,12,36,""
621,158,"C55",16,21,3,56,""
622,159,"C53",16,28,3,29,""
623,160,"C77",930,27,11,59,""
624,161,"C42",952,27,2,27,""
625,176,"C55",3,13,7,36,"Stage III"
626,176,"C55",3,49,12,36,"Stage I and Stage II tumors"
627,177,"C56",3,10,5,36,""
628,177,"C55",3,7,2,36,""
629,179,"C77",929,52,7,54,""
630,184,"C42",994,31,5,85,"Blast crisis phase"
631,189,"C53",53,28,1,54,""
632,189,"C53",376,11,1,54,""
633,194,"C55",103,42,4,36,""
634,198,"C18-C20",100,7,2,36,"FAP patients"
635,200,"C25",3,34,16,85,""
636,202,"C49",500,24,4,54,""
637,203,"C74",16,15,3,26,""
638,508,"C15",53,72,29,36,""
639,206,"C44",70,27,15,54,""
640,1267,"C73",16,45,7,36,""
641,211,"C42",1031,50,3,36,""
642,212,"C44",65,20,8,29,""
643,214,"C42",952,30,6,15,""
644,215,"C15",53,16,2,36,""
645,216,"C44",70,19,9,15,""
646,216,"C44",53,13,2,15,""
647,225,"C18-C20",16,16,6,16,""
651,229,"C42",1031,61,3,10,""
652,231,"C44",70,11,3,60,"XP patients"
654,238,"C67",16,61,20,36,""
655,239,"C47",854,79,0,16,""
656,242,"C49",500,28,5,21,""
657,244,"C62",3,22,0,4,""
658,251,"C53",3,92,2,21,""
659,256,"C42",978,23,3,36,""
660,257,"C53",16,29,1,85,"HPV positive cases"
661,261,"C42",907,48,9,36,""
663,263,"C42",994,23,1,36,""
664,263,"C42",982,8,1,36,""
665,263,"C42",1031,4,1,36,""
666,263,"C42",983,3,1,36,""
667,264,"C42",952,37,1,15,""
668,265,"C42",993,49,3,54,""
669,679,"C77",907,56,14,54,""
670,268,"C42",982,60,3,15,""
671,271,"C18-C20",103,24,14,27,""
672,272,"C18-C20",100,22,1,19,""
673,273,"C18-C20",103,33,14,21,""
674,279,"C67",16,23,8,36,""
675,281,"C73",16,52,7,19,""
676,284,"C56",16,20,9,54,""
677,289,"C42",981,53,8,54,""
678,291,"C42",1017,32,2,19,""
679,296,"C55",16,30,3,54,""
680,299,"C67",16,25,6,36,""
681,304,"C18-C20",3,19,10,54,""
683,306,"C42",988,312,5,16,""
684,306,"C77",907,18,3,16,""
685,307,"C71",825,6,1,54,"Grade 2/3 cases"
686,307,"C71",835,30,3,54,"Grade 4 cases"
687,308,"C73",16,49,12,43,""
688,310,"C40",752,14,2,36,""
689,311,"C44",70,20,2,29,""
690,313,"C61",16,20,2,27,""
691,314,"C67",16,42,14,54,""
692,316,"C44",458,30,2,21,"Metastasis"
693,322,"C44",70,36,16,54,""
694,1564,"C24",16,29,10,19,"ampulla of Vater cancers, with additional cases of ref 687 and 871"
695,332,"C53",16,47,1,29,"p53 IHC positive and HPV negative tumors"
696,334,"C64",611,21,2,4,""
697,336,"C51",53,21,5,54,""
701,347,"C49",567,29,6,29,""
702,348,"C42",952,63,3,85,""
703,348,"C42",953,18,4,85,""
704,352,"C41",768,11,1,15,""
705,355,"C64",611,140,8,4,""
706,356,"C74",256,3,0,85,"Primary tumor cases"
707,357,"C23",16,16,5,36,""
709,361,"C77",906,29,6,54,""
710,364,"C71",812,17,3,54,""
711,365,"C42",994,26,1,19,""
712,366,"C44",70,12,4,25,""
713,367,"C47",854,20,2,36,""
714,372,"C64",215,118,2,36,""
715,383,"C49",546,25,5,54,""
716,383,"C49",567,13,5,54,""
717,383,"C49",532,9,1,54,""
718,385,"C56",264,12,5,36,""
719,385,"C55",16,49,9,36,""
720,386,"C49",715,17,5,54,""
721,390,"C64-C68",89,20,4,36,""
