"Country_ID","Country","Population","Region","Development"
161,"Mauritania","Western Africa","Africa","Less developed regions"
162,"Mauritius","Eastern Africa","Africa","Less developed regions"
163,"Monaco","Western Europe","Europe","More developed regions"
164,"Mongolia","Eastern Asia","Asia","Less developed regions"
165,"Moldova","Eastern Europe","Europe","More developed regions"
166,"Montserrat","Caribbean","Americas","Less developed regions"
167,"Oman","Western Asia","Asia","Less developed regions"
168,"Namibia","Southern Africa","Africa","Less developed regions"
169,"Nauru","Micronesia","Western Pacific","Less developed regions"
170,"Nepal","South Central Asia","Asia","Less developed regions"
171,"Netherlands Antilles","Caribbean","Americas","Less developed regions"
172,"Aruba","Caribbean","Americas","Less developed regions"
173,"New Caledonia","Melanesia","Western Pacific","Less developed regions"
174,"Vanuatu","Melanesia","Western Pacific","Less developed regions"
175,"Nicaragua","Central America","Americas","Less developed regions"
176,"Niger","Western Africa","Africa","Less developed regions"
177,"Northern Mariana Islands","Micronesia","Western Pacific","Less developed regions"
178,"Micronesia, NOS","Micronesia","Western Pacific","Less developed regions"
179,"Marshall Islands","Micronesia","Western Pacific","Less developed regions"
180,"Pakistan","South Central Asia","Asia","Less developed regions"
181,"Pitcairn Islands","Polynesia","Western Pacific","Less developed regions"
182,"Guinea-Bissau","Western Africa","Africa","Less developed regions"
183,"East Timor","South Eastern Asia","Asia","Less developed regions"
184,"Puerto Rico","Caribbean","Americas","Less developed regions"
185,"Qatar","Western Asia","Asia","Less developed regions"
186,"Rwanda","Eastern Africa","Africa","Less developed regions"
187,"St. Helena","Western Africa","Africa","Less developed regions"
188,"Anguilla","Caribbean","Americas","Less developed regions"
189,"Saint Lucia","Caribbean","Americas","Less developed regions"
190,"St. Pierre And Miquelon","Northern America","Americas","More developed regions"
191,"Saint Vincent And The Grenadines","Caribbean","Americas","Less developed regions"
192,"Seychelles","Eastern Africa","Africa","Less developed regions"
193,"Sierra Leone","Western Africa","Africa","Less developed regions"
194,"Slovenia","Southern Europe","Europe","More developed regions"
195,"Somalia","Eastern Africa","Africa","Less developed regions"
196,"Zimbabwe","Eastern Africa","Africa","Less developed regions"
197,"Western Sahara","Northern Africa","Africa","Less developed regions"
198,"Suriname","South America","Americas","Less developed regions"
199,"Swaziland","Southern Africa","Africa","Less developed regions"
200,"Syrian Arab Republic","Western Asia","Asia","Less developed regions"
201,"Tajikistan","South Central Asia","Asia","Less developed regions"
202,"Togo","Western Africa","Africa","Less developed regions"
203,"Tokelau","Polynesia","Western Pacific","Less developed regions"
204,"Tonga","Polynesia","Western Pacific","Less developed regions"
205,"Trinidad And Tobago","Caribbean","Americas","Less developed regions"
206,"United Arab Emirates","Western Asia","Asia","Less developed regions"
207,"Turkmenistan","South Central Asia","Asia","Less developed regions"
208,"Turks And Caicos Islands","Caribbean","Americas","Less developed regions"
209,"Tuvalu","Polynesia","Western Pacific","Less developed regions"
210,"Macedonia","Southern Europe","Europe","More developed regions"
211,"Burkina Faso","Western Africa","Africa","Less developed regions"
212,"Uzbekistan","South Central Asia","Asia","Less developed regions"
213,"Wallis And Futuna Islands","Polynesia","Western Pacific","Less developed regions"
214,"Samoa","Polynesia","Western Pacific","Less developed regions"
215,"Yemen","Western Asia","Asia","Less developed regions"
216,"Yugoslavia","Southern Europe","Europe","More developed regions"
217,"Zambia","Eastern Africa","Africa","Less developed regions"
218,"Pacific Islands","Micronesia","Western Pacific","Less developed regions"
219,"St. Christopher and Nevis","Caribbean","Americas","Less developed regions"
220,"United Virgin Islands","Caribbean","Americas","Less developed regions"
221,"Equatorial Guinea","Middle Africa","Africa","Less developed regions"
222,"Channel Islands","Northern Europe","Europe","More developed regions"
223,"Faeroe Islands","Northern Europe","Europe","More developed regions"
224,"Isle of Man","Northern Europe","Europe","More developed regions"
225,"Falkland Islands","South America","Americas","Less developed regions"
226,"Australia/New Zealand, NOS","Australia/New Zealand","Western Pacific","More developed regions"
227,"Caribbean, NOS","Caribbean","Americas","Less developed regions"
228,"Central America, NOS","Central America","Americas","Less developed regions"
229,"Eastern Africa, NOS","Eastern Africa","Africa","Less developed regions"
230,"Eastern Asia, NOS","Eastern Asia","Asia","Less developed regions"
231,"Melanesia, NOS","Melanesia","Western Pacific","Less developed regions"
232,"Middle Africa, NOS","Middle Africa","Africa","Less developed regions"
233,"Polynesia, NOS","Polynesia","Western Pacific","Less developed regions"
234,"South America, NOS","South America","Americas","Less developed regions"
235,"South Central Asia, NOS","South Central Asia","Asia","Less developed regions"
236,"South Eastern Asia, NOS","South Eastern Asia","Asia","Less developed regions"
237,"Southern Africa, NOS","Southern Africa","Africa","Less developed regions"
238,"Southern Europe, NOS","Southern Europe","Europe","More developed regions"
239,"Western Africa, NOS","Western Africa","Africa","Less developed regions"
240,"Western Asia, NOS","Western Asia","Asia","Less developed regions"
241,"Less developed regions,NOS","Less developed regions,NOS","Less developed regions,NOS","Less developed regions"
242,"More developed regions,NOS","More developed regions,NOS","More developed regions,NOS","More developed regions"
245,"Serbia","Southern Europe","Europe","More developed regions"
248,"Asia, NOS","Asia, NOS","Asia","NA"
249,"Americas, NOS","Americas, NOS","Americas","NA"
250,"Western Pacific, NOS","Western Pacific, NOS","Western Pacific","NA"
251,"Africa, NOS","Africa, NOS","Africa","Less developed regions"

246 rows selected. 

