"FRef_ID","Cross_FRef_ID","Title","Authors","Ref_Year","Start_page","Journal","Volume","PubMed","Remark"
12,,"Novel p53 mutants selected in BRCA-associated tumours which dissociate transformation suppression from other wild-type p53 functions","Smith PD;Crossland S;Parker G;Osin P;Brooks L;Waller J;Philp E;Crompton MR;Gusterson BA;Allday MJ;Crook T;",1999,2451,"Oncogene",18,"10229196",""
13,,"Induction of gene amplification as a gain-of-function phenotype of mutant p53 proteins","El Hizawi S;Lagowski JP;Kulesz-Martin M;Albor A;",2002,3264,"Cancer Res",62,"12036943",""
14,,"Gain of function mutations in p53","Dittmer D;Pati S;Zambetti G;Chu S;Teresky AK;Moore M;Finlay C;Levine AJ;",1993,42,"Nat Genet",4,"8099841","Removed tumorigenicity assay (mouse cells)"
15,,"Mutant p53 gain of function: differential effects of different p53 mutants on resistance of cultured cells to chemotherapy","Blandino G;Levine AJ;Oren M;",1999,477,"Oncogene",18,"9927204",""
16,,"Transcriptional activation by p53 correlates with suppression of growth but not transformation","Crook T;Marston NJ;Sara EA;Vousden KH;",1994,817,"Cell",79,"8001119","Incorporated data from a previous paper not in the database (Crook and Vousden, 1992)"
17,,"RNA polymerase III transcription can be derepressed by oncogenes or mutations that compromise p53 function in tumours and Li-Fraumeni syndrome","Stein T;Crighton D;Boyle JM;Varley JM;White RJ;",2002,2961,"Oncogene",21,"12082526",""
18,,"Dissociation of DNA binding and in vitro transcriptional activities dependent on the C terminus of P53 proteins","Kaku S;Albor A;Kulesz-Martin M;",2001,204,"Biochem Biophys Res Commun",280,"11162500","Paper rejected (R76): exclusively in vitro data"
19,,"Inhibition of HIF-1- and wild-type p53-stimulated transcription by codon Arg175 p53 mutants with selective loss of functions","Blagosklonny MV;Giannakakou P;Romanova LY;Ryan KM;Vousden KH;Fojo T;",2001,861,"Carcinogenesis",22,"11375890",""
20,,"A subset of tumor-derived mutant forms of p53 down-regulate p63 and p73 through a direct interaction with the p53 core domain","Gaiddon C;Lokshin M;Ahn J;Zhang T;Prives C;",2001,1874,"Mol Cell Biol",21,"11238924",""
21,,"Substitutions that compromise the ionizing radiation-induced association of p53 with 14-3-3 proteins also compromise the ability of p53 to induce cell cycle arrest","Stavridi ES;Chehab NH;Malikzay A;Halazonetis TD;",2001,7030,"Cancer Res",61,"11585729",""
22,,"Tumor-derived mutations within the DNA-binding domain of p53 that phenotypically resemble the deletion of the proline-rich domain","Roth J;Koch P;Contente A;Dobbelstein M;",2000,1834,"Oncogene",19,"10777217",""
23,,"The p53 mutation which abrogates trans-activation while maintaining its growth-suppression activity","Oh SJ;Im MY;",2000,386,"Mol Cells",10,"10987134",""
24,,"Wild type and mutant p53 differentially regulate the gene expression of human collagenase-3 (hMMP-13)","Sun Y;Cheung JM;Martel-Pelletier J;Pelletier JP;Wenger L;Altman RD;Howell DS;Cheung HS;",2000,11327,"J Biol Chem",275,"10753945",""
25,,"Physical and functional interaction between p53 mutants and different isoforms of p73","Strano S;Munarriz E;Rossi M;Cristofanelli B;Shaul Y;Castagnoli L;Levine AJ;Sacchi A;Cesareni G;Oren M;Blandino G;",2000,29503,"J Biol Chem",275,"10884390",""
26,,"Tumor-derived p53 mutant C174Y is a gain-of-function mutant which activates the fos promoter and enhances colony formation","Preuss U;Kreutzfeld R;Scheidtmann KH;",2000,162,"Int J Cancer",88,"11004663","Paper rejected (R78): mutant was from rat"
27,,"Identification of a tumor-derived p53 mutant with novel transactivating selectivity","Pan Y;Haines DS;",2000,3095,"Oncogene",19,"10871862",""
28,,"Differential activation of target cellular promoters by p53 mutants with impaired apoptotic function","Ludwig RL;Bates S;Vousden KH;",1996,4952,"Mol Cell Biol",16,"8756654",""
29,28,"Specific loss of apoptotic but not cell-cycle arrest function in a human tumor derived p53 mutant","Rowan S;Ludwig RL;Haupt Y;Bates S;Lu X;Oren M;Vousden KH;",1996,827,"EMBO J",15,"8631304",""
30,,"Activation of c-myc gene expression by tumor-derived p53 mutants requires a discrete C-terminal domain","Frazier MW;He X;Wang J;Gu Z;Cleveland JL;Zambetti GP;",1998,3735,"Mol Cell Biol",18,"9632756","Paper rejected (R79): study with a murine promoter"
31,,"Activation of the insulin-like growth factor II transcription by aflatoxin B1 induced p53 mutant 249 is caused by activation of transcription complexes; implications for a gain-of-function during the formation of hepatocellular carcinoma","Lee YI;Lee S;Das GC;Park US;Park SM;Lee YI;",2000,3717,"Oncogene",19,"10949925",""
32,,"Functional analyses of a unique p53 germline mutant (Y236delta) associated with a familial brain tumor syndrome","Chene P;Ory K;Ruedi D;Soussi T;Hegi ME;",1999,17,"Int J Cancer",82,"10360814",""
33,,"Dominant-negative p53 mutations selected in yeast hit cancer hot spots","Brachmann RK;Vidal M;Boeke JD;",1996,4091,"Proc Natl Acad Sci U S A",93,"8633021",""
34,,"p53 mutants can often transactivate promoters containing a p21 but not Bax or PIG3 responsive elements","Campomenosi P;Monti P;Aprile A;Abbondandolo A;Frebourg T;Gold B;Crook T;Inga A;Resnick MA;Iggo R;Fronza G;",2001,3573,"Oncogene",20,"11429705",""
35,,"Human tumor-derived p53 proteins exhibit binding site selectivity and temperature sensitivity for transactivation in a yeast-based assay","Di Como CJ;Prives C;",1998,2527,"Oncogene",16,"9627118",""
36,,"p53 mutations isolated in yeast based on loss of transcription factor activity: similarities and differences from p53 mutations detected in human tumors","Epstein CB;Attiyeh EF;Hobson DA;Silver AL;Broach JR;Levine AJ;",1998,2115,"Oncogene",16,"9572492",""
37,,"Simple identification of dominant p53 mutants by a yeast functional assay","Inga A;Cresta S;Monti P;Aprile A;Scott G;Abbondandolo A;Iggo R;Fronza G;",1997,2019,"Carcinogenesis",18,"9364015",""
38,,"Dominant-negative mutations of the tumor suppressor p53 relating to early onset of glioblastoma multiforme","Marutani M;Tonoki H;Tada M;Takahashi M;Kashiwazaki H;Hida Y;Hamada J;Asaka M;Moriuchi T;",1999,4765,"Cancer Res",59,"10519380",""
39,37,"Tumour p53 mutations exhibit promoter selective dominance over wild type p53","Monti P;Campomenosi P;Ciribilli Y;Iannone R;Inga A;Abbondandolo A;Resnick MA;Fronza G;",2002,1641,"Oncogene",21,"11896595",""
40,,"A 'no-hybrids' screen for functional antagonizers of human p53 transactivator function: dominant negativity in fission yeast","Waddell S;Jenkins JR;Proikas-Cezanne T;",2001,6001,"Oncogene",20,"11593407",""
41,,"Amifostine (WR2721) restores transcriptional activity of specific p53 mutant proteins in a yeast functional assay","Maurici D;Monti P;Campomenosi P;North S;Frebourg T;Fronza G;Hainaut P;",2001,3533,"Oncogene",20,"11429700",""
42,,"A novel p53 mutant retained functional activity in lung carcinomas","Ko JL;Chiao MC;Chang SL;Lin P;Lin JC;Sheu GT;Lee H;",2002,755,"DNA Repair (Amst )",1,"12509279",""
43,,"p53 mutants have selective dominant-negative effects on apoptosis but not growth arrest in human cancer cell lines","Aurelio ON;Kong XT;Gupta S;Stanbridge EJ;",2000,770,"Mol Cell Biol",20,"10629033",""
44,,"Cellular characterisation of p53 mutants with a single missense mutation in the beta-strand 326-333 and correlation of their cellular activities with in vitro properties","Chene P;Bechter E;",1999,891,"J Mol Biol",288,"10329187",""
45,,"p53 mutants without a functional tetramerisation domain are not oncogenic","Chene P;Bechter E;",1999,1269,"J Mol Biol",286,"10064694",""
46,,"Isolation of temperature-sensitive p53 mutations from a comprehensive missense mutation library","Shiraishi K;Kato S;Han SY;Liu W;Otsuka K;Sakayori M;Ishida T;Takeda M;Kanamaru R;Ohuchi N;Ishioka C;",2004,348,"J Biol Chem",279,"14559903",""
47,,"Understanding the function-structure and function-mutation relationships of p53 tumor suppressor protein by high-resolution missense mutation analysis","Kato S;Han SY;Liu W;Otsuka K;Shibata H;Kanamaru R;Ishioka C;",2003,8424,"Proc Natl Acad Sci U S A",100,"12826609",""
48,38,"Inactivate the remaining p53 allele or the alternate p73? Preferential selection of the Arg72 polymorphism in cancers with recessive p53 mutants but not transdominant mutants","Tada M;Furuuchi K;Kaneda M;Matsumoto J;Takahashi M;Hirai A;Mitsumoto Y;Iggo RD;Moriuchi T;",2001,515,"Carcinogenesis",22,"11238194",""
49,37,"Characterization of the p53 mutants ability to inhibit p73 beta transactivation using a yeast-based functional assay","Monti P;Campomenosi P;Ciribilli Y;Iannone R;Aprile A;Inga A;Tada M;Menichini P;Abbondandolo A;Fronza G;",2003,5252,"Oncogene",22,"12917626",""
50,16,"Characterization of structural p53 mutants which show selective defects in apoptosis but not cell cycle arrest","Ryan KM;Vousden KH;",1998,3692,"Mol Cell Biol",18,"9632751","Also cross-ref with F-28"
51,37,"p53 mutants exhibiting enhanced transcriptional activation and altered promoter selectivity are revealed using a sensitive, yeast-based functional assay","Inga A;Monti P;Fronza G;Darden T;Resnick MA;",2001,501,"Oncogene",20,"11313981","Also cross-ref with F-39 (DNE study)"
52,,"Androgen-independent growth of LNCaP prostate cancer cells is mediated by gain-of-function mutant p53","Nesslinger NJ;Shi XB;deVere White RW;",2003,2228,"Cancer Res",63,"12727844",""
53,,"A mutant p53 that discriminates between p53-responsive genes cannot induce apoptosis","Friedlander P;Haupt Y;Prives C;Oren M;",1996,4961,"Mol Cell Biol",16,"8756655",""
54,,"Mutant p53 gain of function: repression of CD95(Fas/APO-1) gene expression by tumor-associated p53 mutants","Zalcenstein A;Stambolsky P;Weisz L;Muller M;Wallach D;Goncharov TM;Krammer PH;Rotter V;Oren M;",2003,5667,"Oncogene",22,"12944915",""
55,,"Multiple C-terminal lysine residues target p53 for ubiquitin-proteasome-mediated degradation","Rodriguez MS;Desterro JM;Lain S;Lane DP;Hay RT;",2000,8458,"Mol Cell Biol",20,"11046142",""
56,,"Cooperation of two mutant p53 alleles contributes to Fas resistance of prostate carcinoma cells","Gurova KV;Rokhlin OW;Budanov AV;Burdelya LG;Chumakov PM;Cohen MB;Gudkov AV;",2003,2905,"Cancer Res",63,"12782597",""
57,,"Constitutive and DNA damage inducible activation of pig3 and MDM2 genes by tumor-derived p53 mutant C277Y","Pospisilova S;Siligan C;Ban J;Jug G;Kovar H;",2004,296,"Mol Cancer Res",2,"15192123",""
58,,"Modulation of cellular and viral promoters by mutant human p53 proteins found in tumor cells","Deb S;Jackson CT;Subler MA;Martin DW;",1992,6164,"J Virol",66,"1356162","V143A activity on CMV promoter not entered: not in agreement with F-134"
59,,"Hetero-oligomerization does not compromise 'gain of function' of tumor-derived p53 mutants","Deb D;Scian M;Roth KE;Li W;Keiger J;Chakraborti AS;Deb SP;Deb S;",2002,176,"Oncogene",21,"11803461",""
60,,"Mutant p53 exerts a dominant negative effect by preventing wild-type p53 from binding to the promoter of its target genes","Willis A;Jung EJ;Wakefield T;Chen X;",2004,2330,"Oncogene",23,"14743206",""
61,,"Tumor-derived p53 mutants induce oncogenesis by transactivating growth-promoting genes","Scian MJ;Stagliano KE;Deb D;Ellis MA;Carchman EH;Das A;Valerie K;Deb SP;Deb S;",2004,4430,"Oncogene",23,"15077194",""
62,,"Characterization of p53 oligomerization domain mutations isolated from Li-Fraumeni and Li-Fraumeni like family members","Lomax ME;Barnes DM;Hupp TR;Picksley SM;Camplejohn RS;",1998,643,"Oncogene",17,"9704930",""
63,,"Identification of two serine residues important for p53 DNA binding and protein stability","Wei G;Liu G;Liu X;",2003,16,"FEBS Lett",543,"12753897",""
64,,"p73 and p63 are homotetramers capable of weak heterotypic interactions with each other but not with p53","Davison TS;Vagner C;Kaghad M;Ayed A;Caput D;Arrowsmith CH;",1999,18709,"J Biol Chem",274,"10373484",""
65,,"Mechanism of functional inactivation of a Li-Fraumeni syndrome p53 that has a mutation outside of the DNA-binding domain","Gu J;Kawai H;Wiederschain D;Yuan ZM;",2001,1741,"Cancer Res",61,"11245491",""
66,,"Parathyroid hormone-related protein gene expression in human squamous carcinoma cells is repressed by mutant isoforms of p53","Foley J;Wysolmerski JJ;Broadus AE;Philbrick WM;",1996,4056,"Cancer Res",56,"8752179",""
67,,"Identification of partial loss of function p53 gene mutations utilizing a yeast-based functional assay","Kovvali GK;Mehta B;Epstein CB;Lutzker SG;",2001,,"Nucleic Acids Res",29,"11222779",""
68,,"p53-R175H mutant gains new function in regulation of doxorubicin-induced apoptosis","Tsang WP;Ho FY;Fung KP;Kong SK;Kwok TT;",2005,331,"Int J Cancer",114,"15578696",""
69,,"Lack of correlation between p53-dependent transcriptional activity and the ability to induce apoptosis among 179 mutant p53s","Kakudo Y;",2005,2108,"Cancer Res",65,"15781620","Most of data entered in ""FUNCTION_ISHIOKA"" table"
70,,"Oligomerization is not essential for growth suppression by p53 in p53-deficient osteosarcoma Saos-2 cells","Ishioka C;Shimodaira H;Englert C;Shimada A;Osada M;Jia LQ;Suzuki T;Gamo M;Kanamaru R;",1997,54,"Biochem Biophys Res Commun",232,"9125151",""
71,,"The relationship among p53 oligomer formation, structure and transcriptional activity using a comprehensive missense mutation library","Kawaguchi T;Kato S;Otsuka K;Watanabe G;Kumabe T;Tominaga T;Yoshimoto T;Ishioka C;",2005,6976,"Oncogene",24,"16007150",""
72,,"A common polymorphism acts as an intragenic modifier of mutant p53 behaviour","Marin MC;Jost CA;Brooks LA;Irwin MS;O'Nions J;Tidy JA;James N;McGregor JM;Harwood CA;Yulug IG;Vousden KH;Allday MJ;Gusterson B;Ikawa S;Hinds PW;Crook T;Kaelin WG;",2000,47,"Nat Genet",25,"10802655",""
73,,"Hot-spot p53 mutants interact specifically with two cellular proteins during progression of the cell cycle","Chen Y;Chen PL;Lee WH;",1994,6764,"Mol Cell Biol",14,"7935394",""
74,,"The human oncoprotein MDM2 uses distinct strategies to inhibit transcriptional activation mediated by the wild-type p53 and its tumor-derived mutants","Brown DR;Deb D;Frum R;Hickes L;Munoz R;Deb S;Deb SP;",2001,449,"Int J Oncol",18,"11179471",""
75,,"p53 has a direct apoptogenic role at the mitochondria","Mihara M;Erster S;Zaika A;Petrenko O;Chittenden T;Pancoska P;Moll UM;",2003,577,"Mol Cell",11,"12667443",""
76,,"Differential transactivation by the p53 transcription factor is highly dependent on p53 level and promoter target sequence","Inga A;Storici F;Darden TA;Resnick MA;",2002,8612,"Mol Cell Biol",22,"12446780","Removed Cyclin G (rat p53-RE) + TA data different from F-77"
77,76,"Functional mutants of the sequence-specific transcription factor p53 and implications for master genes of diversity","Resnick MA;Inga A;",2003,9934,"Proc Natl Acad Sci U S A",100,"12909720","Incorporated unpublished data; removed data on Cyclin G (rat p53-RE) + TA data different from F-76"
78,,"Genetic selection of intragenic suppressor mutations that reverse the effect of common p53 cancer mutations","Brachmann RK;Yu K;Eby Y;Pavletich NP;Boeke JD;",1998,1847,"EMBO J",17,"9524109",""
79,,"Inactive full-length p53 mutants lacking dominant wild-type p53 inhibition highlight loss-of-heterozygosity as an important aspect of p53 status in human cancers","Dearth LR;Qian H;Wang T;Baroni TE;Zeng J;Chen SW;Yi SY;Brachmann RK;",2006,,"Carcinogenesis",,"16861262","For some genes, temperature reference for yeast assay is 37°C due to wtp53 activity"
80,,"Stabilization of the MDM2 oncoprotein by mutant p53","Peng Y;Chen L;Li C;Lu W;Agrawal S;Chen J;",2001,6874,"J Biol Chem",276,"11152666",""
81,,"MBP1: a novel mutant p53-specific protein partner with oncogenic properties","Gallagher WM;Argentini M;Sierra V;Bracco L;Debussche L;Conseiller E;",1999,3608,"Oncogene",18,"10380882",""
82,,"p53 compound heterozygosity in a severely affected child with Li-Fraumeni syndrome","Quesnel S;Verselis S;Portwine C;Garber J;White M;Feunteun J;Malkin D;Li FP;",1999,3970,"Oncogene",18,"10435620",""
83,72,"p53 polymorphism influences response in cancer chemotherapy via modulation of p73-dependent apoptosis","Bergamaschi D;Gasco M;Hiller L;Sullivan A;Syed N;Trigiante G;Yulug I;Merlano M;Numico G;Comino A;Attard M;Reelfs O;Gusterson B;Bell AK;Heath V;Tavassoli M;Farrell PJ;Smith P;Lu X;Crook T;",2003,387,"Cancer Cell",3,"12726864",""
84,,"Human and mouse Fas (APO-1/CD95) death receptor genes each contain a p53-responsive element that is activated by p53 mutants unable to induce apoptosis","Munsch D;Watanabe-Fukunaga R;Bourdon JC;Nagata S;May E;Yonish-Rouach E;Reisdorf P;",2000,3867,"J Biol Chem",275,"10660538",""
85,,"Cloning and characterization of the human BAG-1 gene promoter: upregulation by tumor-derived p53 mutants","Yang X;Pater A;Tang SC;",1999,4546,"Oncogene",18,"10467399",""
86,59,"'Gain of function' phenotype of tumor-derived mutant p53 requires the oligomerization/nonsequence-specific nucleic acid-binding domain","Lanyi A;Deb D;Seymour RC;Ludes-Meyers JH;Subler MA;Deb S;",1998,3169,"Oncogene",16,"9671396",""
87,,"Mutation of conserved domain II alters the sequence specificity of DNA binding by the p53 protein","Freeman J;Schmidt S;Scharer E;Iggo R;",1994,5393,"EMBO J",13,"7957105",""
88,45,"The gain of function of the p53 mutant Asp281Gly is dependent on its ability to form tetramers","Atema A;Chene P;",2002,103,"Cancer Lett",185,"12142085",""
89,86,"Transcriptional activation of the human epidermal growth factor receptor promoter by human p53","Ludes-Meyers JH;Subler MA;Shivakumar CV;Munoz RM;Jiang P;Bigger JE;Brown DR;Deb SP;Deb S;",1996,6009,"Mol Cell Biol",16,"8887630","TA of EGFR by mutants does not require the p53-RE"
90,,"Progression toward tumor cell phenotype is enhanced by overexpression of a mutant p53 tumor-suppressor gene isolated from nasopharyngeal carcinoma","Sun Y;Nakamura K;Wendel E;Colburn N;",1993,2827,"Proc Natl Acad Sci U S A",90,"8464896",""
91,,"Germ-line mutations of the p53 tumor suppressor gene in patients with high risk for cancer inactivate the p53 protein","Frebourg T;Kassel J;Lam KT;Gryka MA;Barbier N;Andersen TI;Borresen AL;Friend SH;",1992,6413,"Proc Natl Acad Sci U S A",89,"1631137",""
92,,"Increased apoptosis induction by 121F mutant p53","Saller E;Tom E;Brunori M;Otter M;Estreicher A;Mack DH;Iggo R;",1999,4424,"EMBO J",18,"10449408",""
93,,"The processing of Holliday junctions by BLM and WRN helicases is regulated by p53","Yang Q;Zhang R;Wang XW;Spillare EA;Linke SP;Subramanian D;Griffith JD;Li JL;Hickson ID;Shen JC;Loeb LA;Mazur SJ;Appella E;Brosh RM;Karmakar P;Bohr VA;Harris CC;",2002,31980,"J Biol Chem",277,"12080066",""
94,,"Multiple lysine mutations in the C-terminal domain of p53 interfere with MDM2-dependent protein degradation and ubiquitination","Nakamura S;Roth JA;Mukhopadhyay T;",2000,9391,"Mol Cell Biol",20,"11094089","Paper rejected (R85): mutants not physiologically relevant"
95,,"Heterogeneous p53 mutations in a Burkitt lymphoma from an AIDS patient with monoclonal c-myc and VDJ rearrangements","Campomenosi P;Fronza G;Ottaggio L;Roncella S;Inga A;Bogliolo M;Monti P;Assereto P;Moro F;Cutrona G;Bozzo S;Chiorazzi N;Abbondandolo A;Ferrarini M;",1997,816,"Int J Cancer",73,"9399658",""
96,,"Transcriptional regulation of basic fibroblast growth factor gene by p53 in human glioblastoma and hepatocellular carcinoma cells","Ueba T;Nosaka T;Takahashi JA;Shibata F;Florkiewicz RZ;Vogelstein B;Oda Y;Kikuchi H;Hatanaka M;",1994,9009,"Proc Natl Acad Sci U S A",91,"8090761",""
97,,"Gain-of-function mutations of the p53 gene induce lymphohematopoietic metastatic potential and tissue invasiveness","Hsiao M;Low J;Dorn E;Ku D;Pattengale P;Yeargin J;Haas M;",1994,702,"Am J Pathol",145,"8080050",""
98,,"Wild-type and mutant p53 differentially regulate transcription of the insulin-like growth factor I receptor gene","Werner H;Karnieli E;Rauscher FJ;LeRoith D;",1996,8318,"Proc Natl Acad Sci U S A",93,"8710868",""
99,,"Tumor-derived p53 mutants induce NF-kappaB2 gene expression","Scian MJ;Stagliano KE;Anderson MA;Hassan S;Bowman M;Miles MF;Deb SP;Deb S;",2005,10097,"Mol Cell Biol",25,"16260623",""
100,,"Binding sequence-dependent regulation of the human proliferating cell nuclear antigen promoter by p53","Shan B;Morris GF;",2005,10,"Exp Cell Res",305,"15777783",""
101,,"A simple p53 functional assay for screening cell lines, blood, and tumors","Flaman JM;Frebourg T;Moreau V;Charbonnier F;Martin C;Chappuis P;Sappino AP;Limacher IM;Bron L;Benhattar J;Tada M;Van Meir EG;Estreicher A;Iggo R;",1995,3963,"Proc Natl Acad Sci U S A",92,"7732013",""
102,,"Chromatin immunoprecipitation analysis fails to support the latency model for regulation of p53 DNA binding activity in vivo","Kaeser MD;Iggo RD;",2002,95,"Proc Natl Acad Sci U S A",99,"11756653",""
103,38,"Functional analysis of p53 gene and the prognostic impact of dominant-negative p53 mutation in endometrial cancer","Sakuragi N;Watari H;Ebina Y;Yamamoto R;Steiner E;Koelbl H;Yano M;Tada M;Moriuchi T;",2005,514,"Int J Cancer",116,"15825182",""
104,,"RB18A enhances expression of mutant p53 protein in human cells","Lottin-Divoux S;Barel M;Frade R;",2005,2323,"FEBS Lett",579,"15848166",""
105,,"Direct p53 transcriptional repression: in vivo analysis of CCAAT-containing G2/M promoters","Imbriano C;Gurtner A;Cocchiarella F;Di Agostino S;Basile V;Gostissa M;Dobbelstein M;Del Sal G;Piaggio G;Mantovani R;",2005,3737,"Mol Cell Biol",25,"15831478",""
106,,"Differential enhancement of a cutaneous HPV promoter by DeltaNP63alpha, Jun and mutant p53","Fei JW;Wei QX;Angel P;de Villiers EM;",2005,689,"Cell Cycle",4,"15846070",""
107,,"Tumor suppressor p53 represses transcription of RECQ4 helicase","Sengupta S;Shimamoto A;Koshiji M;Pedeux R;Rusin M;Spillare EA;Shen JC;Huang LE;Lindor NM;Furuichi Y;Harris CC;",2005,1738,"Oncogene",24,"15674334",""
108,,"p53AIP1, a potential mediator of p53-dependent apoptosis, and its regulation by Ser-46-phosphorylated p53","Oda K;Arakawa H;Tanaka T;Matsuda K;Tanikawa C;Mori T;Nishimori H;Tamai K;Tokino T;Nakamura Y;Taya Y;",2000,849,"Cell",102,"11030628",""
109,,"A role for the p38 mitogen-acitvated protein kinase pathway in the transcriptional activation of p53 on genotoxic stress by chemotherapeutic agents","Sanchez-Prieto R;Rojas JM;Taya Y;Gutkind JS;",2000,2464,"Cancer Res",60,"10811125",""
110,,"Cell type-specific regulation of calmodulin 2 expression by mutant p53","Knaup KX;Roemer K;",2004,70,"FEBS Lett",569,"15225611",""
111,61,"Modulation of gene expression by tumor-derived p53 mutants","Scian MJ;Stagliano KE;Ellis MA;Hassan S;Bowman M;Miles MF;Deb SP;Deb S;",2004,7447,"Cancer Res",64,"15492269",""
112,,"Two functional assays employed to detect an unusual mutation in the oligomerisation domain of p53 in a Li-Fraumeni like family","Lomax ME;Barnes DM;Gilchrist R;Picksley SM;Varley JM;Camplejohn RS;",1997,1869,"Oncogene",14,"9150393",""
113,,"A significant decrease of the transcriptional activity of p53 mutants deriving from human functional adrenal tumors","Lin SR;Yang YC;Jung JH;Tsai JH;",1996,793,"DNA Cell Biol",15,"8892752",""
114,,"Transcriptional repression of the eukaryotic initiation factor 4E gene by wild type p53","Zhu N;Gu L;Findley HW;Zhou M;",2005,1272,"Biochem Biophys Res Commun",335,"16112647",""
115,,"Evaluation of the combined effect of p53 codon 72 polymorphism and hotspot mutations in response to anticancer drugs","Vikhanskaya F;Siddique MM;Kei LM;Broggini M;Sabapathy K;",2005,4348,"Clin Cancer Res",11,"15958617",""
116,,"AP2alpha alters the transcriptional activity and stability of p53","Stabach PR;Thiyagarajan MM;Woodfield GW;Weigel RJ;",2005,,"Oncogene",,"16288208",""
117,,"Defect in serine 46 phosphorylation of p53 contributes to acquisition of p53 resistance in oral squamous cell carcinoma cells","Ichwan SJ;Yamada S;Sumrejkanchanakij P;Ibrahim-Auerkari E;Eto K;Ikeda MA;",2005,,"Oncogene",,"16247456",""
118,,"Adenovirus-mediated p53 gene therapy in osteosarcoma cell lines: sensitization to cisplatin and doxorubicin","Ganjavi H;Gee M;Narendran A;Parkinson N;Krishnamoorthy M;Freedman MH;Malkin D;",2005,,"Cancer Gene Ther",,"16211088",""
119,,"The chaperone-associated ubiquitin ligase CHIP is able to target p53 for proteasomal degradation","Esser C;Scheffner M;Hohfeld J;",2005,27443,"J Biol Chem",280,"15911628",""
120,,"p53 modulates homologous recombination by transcriptional regulation of the RAD51 gene","Arias-Lopez C;Lazaro-Trueba I;Kerr P;Lord CJ;Dexter T;Iravani M;Ashworth A;Silva A;",2006,219,"EMBO Rep",7,"16322760",""
121,,"The interaction of p53 with replication protein A mediates suppression of homologous recombination","Romanova LY;Willers H;Blagosklonny MV;Powell SN;",2004,9025,"Oncogene",23,"15489903",""
122,,"p53 interacts with hRAD51 and hRAD54, and directly modulates homologous recombination","Linke SP;Sengupta S;Khabie N;Jeffries BA;Buchhop S;Miska S;Henning W;Pedeux R;Wang XW;Hofseth LJ;Yang Q;Garfield SH;Sturzbecher HW;Harris CC;",2003,2596,"Cancer Res",63,"12750285",""
123,,"p53 mutated in the transactivation domain retains regulatory functions in homology-directed double-strand break repair","Boehden GS;Akyuz N;Roemer K;Wiesmuller L;",2003,4111,"Oncogene",22,"12821945",""
124,123,"DNA substrate dependence of p53-mediated regulation of double-strand break repair","Akyuz N;Boehden GS;Susse S;Rimek A;Preuss U;Scheidtmann KH;Wiesmuller L;",2002,6306,"Mol Cell Biol",22,"12167722",""
125,,"Mutant p53 can provoke apoptosis in p53-deficient Hep3B cells with delayed kinetics relative to wild-type p53","Stahler F;Roemer K;",1998,3507,"Oncogene",17,"10030675",""
