"G_Prevalence_ID","Diagnosis","Cohort","Cases_Analyzed","Cases_mutated","Mutation prevalence (%)","Remark","REF_ID"
78,"Ovarian ca.","ovarian, fallopian tube, or peritoneal carcinoma at age 40 years or younger",47.0,0.0,0.0,"",325
79,"Sarcoma","Cases < 50 years old",66.0,1.0,1.5,"",328
80,"Breast ca.","Nationwide sample of women with primary breast cancer referred for hereditary cancer genetic testing by Ambry Genetics Inc between March 15, 2012 and June 30, 2016.",38305.0,48.0,0.13,"",332
81,"Breast ca.","Nationwide sample of women with primary breast cancer <40 years old referred for hereditary cancer genetic testing by Ambry Genetics Inc between March 15, 2012 and June 30, 2016.",8009.0,32.0,0.4,"",332
82,"Non-small cell lung cancer","patients with lung adenocarcinoma eligible for surgery, with no history of chemotherapy, recruited from a referral center of thoracic surgery between 2006 and 2013",45.0,4.0,8.9,"Only the c.1010G>A;p.R337H mutation was found (0.3% frequency in Brazilian population)",333
83,"Colorectal ca.","unrelated cases of undefined-familial CRC <55 years old that were negative for a mutation in a known cancer susceptibility genes for CRC",857.0,1.0,0.12,"",335
84,"Breast ca.","Palestinian women with a diagnosis of invasive breast cancer",875.0,9.0,1.0,"",337
85,"Ovarian ca.","Patients aged at least 18 years with primary diagnosis or platinum-sensitive relapse of invasive epithelial ovarian cancer in Germany",525.0,0.0,0.0,"NGS sequencing",338
86,"Ovarian ca.","women with invasive epithelial ovarian cancer recruited between October 2008 and February 2015 at University Malaya Medical Centre in Kuala Lumpur",218.0,0.0,0.0,"NGS sequencing",339
87,"Breast + Ovary ca.","patients with BC < 36 years, bilateral BC < 51 years, affected by BC and OC even in the absence of a family history of BC and OC",5589.0,47.0,0.9,"",340
88,"Breast + Ovary ca.","High-risk breast and/or ovarian cancer probands recruited by the Hong Kong Hereditary and High Risk Breast Cancer Program from 2007 to 2014.",948.0,5.0,0.52,"",351
89,"Breast ca.","Non-BRCA1/2 families from the Kathleen Cuningham Foundation Consortium for research into Familial Breast cancer (kConFab).",684.0,6.0,0.9,"",352
90,"Breast ca.","Early-onset breast cancer (<=35), or bilateral breast cancer, or family history of breast or ovarian cancer",133.0,2.0,0.15,"",353
91,"Advanced cancer","Patients with metastatic or inoperable locally advanced or recurrent cancer",1000.0,10.0,10.0,"",356
92,"Family history of various cancer types","Individuals who underwent testing of TP53 in a single clinical diagnostic laboratory between 2010 and 2014",3201.0,132.0,4.1,"",363
93,"Family history of various cancer types","Individuals who underwent testing of a multi-gene panel in a single clinical diagnostic laboratory between 2010 and 2014",40885.0,102.0,0.2,"",363
94,"Breast + Ovary ca.","Cross-sectional hospital cohort of 68 women with HBOC, referred for genetic testing between 2011 and 2016 at Taipei Veterans General Hospital",68.0,1.0,1.5,"",371
95,"Breast ca. Triple negative","Triple-Negative Breast Cancer cases from the Triple-Negative Breast Cancer Consortium",2148.0,2.0,0.09,"updated with PMID:30099541",373
97,"Breast ca.","Consecutive breast cancer patients treated at the Breast Center of Peking University Cancer Hospital from 2003 to 2015",8085.0,38.0,0.5,"",372
98,"Breast + Ovary ca.","Cases with personnal or family history of breast and/or ovarian cancer referred to the Cancer Genetics Service at the National Cancer Centre Singapore",220.0,5.0,2.3,"",377
99,"Breast ca.","Invasive breast cancer cases diagnosed and treated from 2010 to 2015 at Sarawak
General Hospital",464.0,2.0,0.5,"",379
100,"AML","de novo Acute Myeloid leukemia",72.0,1.0,1.4,"",381
101,"t-AML","therapy-related Acute Myeloid leukemia",107.0,6.0,5.6,"",381
103,"Pediatric cancers","Cancer patients younger than 20 years of age",1120.0,54.0,4.8,"",383
104,"Ovarian ca.","Women with a personal history of OC of any histologic subtype, submitted to GeneDx Laboratories (Gaithersburg, MD) between 2013 and 2017",4439.0,4.0,0.001,"",392
105,"Breast and uterine cancer","Women with breast and uterine cancer who underwent multi-gene hereditary cancer panel testing at a single commercial laboratory (Ambry Genetics, Aliso Viejo, CA).",1650.0,4.0,0.24,"",402
106,"Breast ca.","Women younger than 45 years old and BRCA-negative",78.0,5.0,6.4,"",403
110,"Breast ca.","HER2 positive BC in women younger than 40 years old",304.0,9.0,2.9,"",404
111,"Breast ca.","Women with BC unselected for age of diagnosis and family history",315.0,1.0,0.3,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",405
112,"Breast ca.","Women with BC diagnosed before 46 years and without Chompret criteria for LFS or LFL",239.0,6.0,2.5,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",405
113,"Breast ca. Triple negative","TNBC, newly diagnosed or in aftercare, treated in the Department of Gynecology and Obstetrics, University Hospital Erlange, between 01/2012 and 06/2016",229.0,0.0,0.0,"",409
114,"Pancreatic ca.","Patients from the Mayo Clinic Biospecimen Resource for Pancreas Research, diagnosed with pancreatic ductal adenocarcinoma, recruited between 2012 and 2016, with available genomic DNA extracted from peripheral blood lymphocyte",3030.0,6.0,0.2,"",410
115,"Ovarian ca.","Women with high-grade serous ovarian cancer in Serbia",131.0,0.0,0.0,"NGS sequencing",412
116,"Breast ca.","Patients with high hereditary risk BC from 26 hospitals of 14 provinces in China recruited between October 2015 and September 2016",937.0,21.0,2.2,"",419
117,"Colorectal ca.","High-risk CRC families fulfilling the Amsterdam I/II or Bethesda clinical criteria but negative for MMR gene mutations",98.0,1.0,1.02,"",421
118,"Breast ca.","Women with a personal history of breast cancer were referred for germline testing at the University of Virginia from January 2015 to July 2017",612.0,4.0,0.65,"",422
119,"Hereditary breast cancer syndrome","Patients with suspected hereditary breast cancer syndrome tested at the Clinical Cancer Genetics Service of the National University Cancer Institute between 2001 and 2017",460.0,6.0,1.3,"",424
120,"Breast ca.","Mexican women diagnosed with primary breast cancer with suspicion of HBOC",300.0,0.0,0.0,"",431
121,"Breast ca.","Male breast cancer cases from the Italian multicenter study on MBC, unselected for age at diagnosis and family history of cancer",523.0,0.0,0.0,"",432
122,"Breast ca. Triple negative","	Triple-Negative Breast Cancer cases subjected to clinical germline cancer
panel testing between 2012 and 2016 at Ambry Genetics",8753.0,14.0,0.16,"",435
124,"Breast and/or Ovary ca.","Patients and families from across India with an indication of breast and/or ovarian
cancers",1010.0,23.0,0.09,"",436
125,"Colorectal ca.","Individuals diagnosed with CRC age<50 evaluated by the clinical genetics service at University of Michigan Comprehensive Cancer Center between 1998 and 2015",430.0,1.0,0.23,"",438
127,"Breast ca.","ascertained from the Hunter Area Pathology Service, Newcastle, Australia5
BC cases from the Hunter Area Pathology Service, Newcastle, Australia and from the Variants in Practice Study from the combined Familial Cancer Centers, Melbourne, Australia",999.0,5.0,0.5,"",443
128,"Adrenocortical ca.","Children cases",97.0,45.0,46.4,"",449
129,"Adrenocortical ca.","Adult cases",49.0,7.0,14.3,"",449
130,"Choroid plexus ca.","Children plus one adult",47.0,17.0,39.5,"",449
131,"Breast ca. In situ","Cases of pure DCIS with no invasive disease diagnosed in women aged under 50",655.0,3.0,0.45,"",451
132,"Breast ca.","Male breast cancer cases who underwent multi gen panel testing at Ambry Genetics between 2012 and 2016",708.0,0.0,0.0,"",452
134,"Breast ca.","Unselected Japanese women with breast cancer",7051.0,16.0,0.2,"",450
135,"Breast ca.","Unselected Japanese men with breast cancer",53.0,0.0,0.0,"",450

125 rows selected. 

